# timestamp(s) x y z q_x q_y q_z q_w
0.4375 24.8114 8.42531 7.94236 -0.069298 0.0857187 0.991938 -0.0625174
0.44 24.8092 8.44476 7.94686 -0.0696615 0.0855609 0.991903 -0.0628823
0.4425 24.8071 8.4642 7.95119 -0.0700244 0.0854023 0.991868 -0.0632473
0.445 24.8049 8.48365 7.95533 -0.0703867 0.0852428 0.991833 -0.0636124
0.4475 24.8027 8.50309 7.95929 -0.0707485 0.0850826 0.991798 -0.0639776
0.45 24.8005 8.52253 7.96307 -0.0711097 0.0849215 0.991762 -0.064343
0.4525 24.7983 8.54197 7.96666 -0.0714704 0.0847597 0.991726 -0.0647085
0.455 24.796 8.5614 7.97007 -0.0718305 0.0845971 0.99169 -0.0650741
0.4575 24.7938 8.58084 7.9733 -0.0721901 0.0844336 0.991654 -0.0654398
0.46 24.7915 8.60027 7.97634 -0.0725491 0.0842693 0.991617 -0.0658057
0.4625 24.7893 8.6197 7.97921 -0.0729075 0.0841043 0.991581 -0.0661717
0.465 24.787 8.63913 7.98188 -0.0732653 0.0839385 0.991544 -0.0665378
0.4675 24.7847 8.65855 7.98438 -0.0736226 0.0837718 0.991507 -0.066904
0.47 24.7824 8.67797 7.98669 -0.0739793 0.0836044 0.99147 -0.0672704
0.4725 24.7801 8.69739 7.98881 -0.0743354 0.0834362 0.991432 -0.0676369
0.475 24.7777 8.71681 7.99075 -0.0746909 0.0832671 0.991395 -0.0680035
0.4775 24.7754 8.73623 7.99251 -0.0750459 0.0830973 0.991357 -0.0683703
0.48 24.773 8.75564 7.99408 -0.0754002 0.0829268 0.991319 -0.0687372
0.4825 24.7707 8.77505 7.99547 -0.075754 0.0827554 0.991281 -0.0691042
0.485 24.7683 8.79446 7.99667 -0.0761072 0.0825832 0.991242 -0.0694714
0.4875 24.7659 8.81387 7.99769 -0.0764597 0.0824103 0.991204 -0.0698387
0.49 24.7635 8.83327 7.99852 -0.0768117 0.0822366 0.991165 -0.0702061
0.4925 24.7611 8.85267 7.99917 -0.0771631 0.0820621 0.991126 -0.0705736
0.495 24.7587 8.87207 7.99963 -0.0775138 0.0818868 0.991087 -0.0709413
0.4975 24.7562 8.89147 7.99991 -0.077864 0.0817107 0.991048 -0.0713091
0.5 24.7538 8.91086 8 -0.0782135 0.0815339 0.991008 -0.0716771
0.5025 24.7513 8.93025 7.99991 -0.0785625 0.0813563 0.990969 -0.0720451
0.505 24.7488 8.94964 7.99963 -0.0789108 0.0811779 0.990929 -0.0724134
0.5075 24.7463 8.96903 7.99917 -0.0792585 0.0809988 0.990889 -0.0727817
0.51 24.7438 8.98842 7.99852 -0.0796055 0.0808189 0.990848 -0.0731502
0.5125 24.7413 9.0078 7.99769 -0.079952 0.0806382 0.990808 -0.0735188
0.515 24.7388 9.02718 7.99667 -0.0802978 0.0804568 0.990767 -0.0738876
0.5175 24.7363 9.04655 7.99547 -0.080643 0.0802746 0.990726 -0.0742565
0.52 24.7337 9.06593 7.99408 -0.0809876 0.0800916 0.990685 -0.0746255
0.5225 24.7312 9.0853 7.99251 -0.0813315 0.0799079 0.990644 -0.0749947
0.525 24.7286 9.10467 7.99075 -0.0816748 0.0797234 0.990603 -0.075364
0.5275 24.726 9.12404 7.98881 -0.0820174 0.0795382 0.990561 -0.0757334
0.53 24.7234 9.1434 7.98669 -0.0823594 0.0793522 0.990519 -0.076103
0.5325 24.7208 9.16277 7.98438 -0.0827008 0.0791655 0.990477 -0.0764727
0.535 24.7182 9.18212 7.98188 -0.0830415 0.078978 0.990435 -0.0768426
0.5375 24.7155 9.20148 7.97921 -0.0833815 0.0787897 0.990393 -0.0772126
0.54 24.7129 9.22084 7.97634 -0.0837209 0.0786008 0.99035 -0.0775827
0.5425 24.7102 9.24019 7.9733 -0.0840597 0.078411 0.990308 -0.077953
0.545 24.7076 9.25954 7.97007 -0.0843977 0.0782206 0.990265 -0.0783234
0.5475 24.7049 9.27888 7.96666 -0.0847352 0.0780294 0.990222 -0.0786939
0.55 24.7022 9.29823 7.96307 -0.0850719 0.0778374 0.990178 -0.0790646
0.5525 24.6995 9.31757 7.95929 -0.085408 0.0776447 0.990135 -0.0794355
0.555 24.6968 9.33691 7.95533 -0.0857434 0.0774513 0.990091 -0.0798065
0.5575 24.694 9.35624 7.95119 -0.0860782 0.0772571 0.990047 -0.0801776
0.56 24.6913 9.37558 7.94686 -0.0864123 0.0770622 0.990003 -0.0805488
0.5625 24.6885 9.39491 7.94236 -0.0867457 0.0768666 0.989959 -0.0809203
0.565 24.6858 9.41423 7.93767 -0.0870784 0.0766703 0.989914 -0.0812918
0.5675 24.683 9.43356 7.9328 -0.0874104 0.0764732 0.98987 -0.0816635
0.57 24.6802 9.45288 7.92775 -0.0877417 0.0762754 0.989825 -0.0820353
0.5725 24.6774 9.4722 7.92252 -0.0880724 0.0760768 0.98978 -0.0824073
0.575 24.6746 9.49152 7.91711 -0.0884024 0.0758776 0.989735 -0.0827794
0.5775 24.6717 9.51083 7.91152 -0.0887316 0.0756776 0.98969 -0.0831517
0.58 24.6689 9.53014 7.90575 -0.0890602 0.0754769 0.989644 -0.0835241
0.5825 24.6661 9.54945 7.8998 -0.0893881 0.0752755 0.989598 -0.0838967
0.585 24.6632 9.56876 7.89367 -0.0897153 0.0750734 0.989552 -0.0842694
0.5875 24.6603 9.58806 7.88737 -0.0900418 0.0748706 0.989506 -0.0846423
0.59 24.6574 9.60736 7.88088 -0.0903675 0.074667 0.98946 -0.0850153
0.5925 24.6545 9.62666 7.87422 -0.0906926 0.0744628 0.989413 -0.0853884
0.595 24.6516 9.64595 7.86738 -0.0910169 0.0742578 0.989367 -0.0857617
0.5975 24.6487 9.66524 7.86036 -0.0913406 0.0740522 0.98932 -0.0861351
0.6 24.6457 9.68453 7.85317 -0.0916635 0.0738458 0.989273 -0.0865087
0.6025 24.6428 9.70382 7.8458 -0.0919857 0.0736387 0.989226 -0.0868824
0.605 24.6398 9.7231 7.83826 -0.0923072 0.073431 0.989178 -0.0872563
0.6075 24.6369 9.74238 7.83054 -0.0926279 0.0732225 0.989131 -0.0876304
0.61 24.6339 9.76166 7.82264 -0.092948 0.0730134 0.989083 -0.0880045
0.6125 24.6309 9.78093 7.81457 -0.0932673 0.0728035 0.989035 -0.0883789
0.615 24.6279 9.8002 7.80633 -0.0935858 0.072593 0.988987 -0.0887533
0.6175 24.6248 9.81947 7.79792 -0.0939037 0.0723817 0.988938 -0.089128
0.62 24.6218 9.83874 7.78933 -0.0942208 0.0721698 0.98889 -0.0895027
0.6225 24.6188 9.858 7.78057 -0.0945372 0.0719572 0.988841 -0.0898777
0.625 24.6157 9.87726 7.77164 -0.0948528 0.0717439 0.988792 -0.0902527
0.6275 24.6126 9.89651 7.76254 -0.0951677 0.07153 0.988743 -0.0906279
0.63 24.6096 9.91577 7.75326 -0.0954818 0.0713153 0.988694 -0.0910033
0.6325 24.6065 9.93502 7.74382 -0.0957952 0.0711 0.988645 -0.0913788
