# timestamp(s) x y z q_x q_y q_z q_w
0.435 24.8115 8.42529 7.95169 -0.0693207 0.0857977 0.991956 -0.0625153
0.4375 24.8094 8.44474 7.95628 -0.0696844 0.0856403 0.991921 -0.0628801
0.44 24.8072 8.46419 7.9607 -0.0700476 0.0854821 0.991886 -0.0632451
0.4425 24.8051 8.48364 7.96493 -0.0704102 0.0853231 0.991851 -0.0636102
0.445 24.8029 8.50308 7.96898 -0.0707722 0.0851633 0.991816 -0.0639754
0.4475 24.8007 8.52252 7.97285 -0.0711337 0.0850026 0.99178 -0.0643408
0.45 24.7985 8.54196 7.97653 -0.0714947 0.0848412 0.991744 -0.0647062
0.4525 24.7962 8.56139 7.98003 -0.0718551 0.0846789 0.991708 -0.0650718
0.455 24.794 8.58083 7.98335 -0.0722149 0.0845159 0.991672 -0.0654375
0.4575 24.7917 8.60026 7.98648 -0.0725741 0.0843521 0.991636 -0.0658034
0.46 24.7895 8.61969 7.98944 -0.0729328 0.0841874 0.991599 -0.0661694
0.4625 24.7872 8.63912 7.9922 -0.0732909 0.084022 0.991563 -0.0665355
0.465 24.7849 8.65854 7.99479 -0.0736485 0.0838557 0.991526 -0.0669017
0.4675 24.7826 8.67797 7.99719 -0.0740054 0.0836887 0.991489 -0.067268
0.47 24.7803 8.69739 7.9994 -0.0743618 0.0835209 0.991451 -0.0676345
0.4725 24.778 8.71681 8.00143 -0.0747176 0.0833523 0.991414 -0.0680011
0.475 24.7757 8.73622 8.00328 -0.0750728 0.0831829 0.991376 -0.0683679
0.4775 24.7733 8.75564 8.00494 -0.0754275 0.0830127 0.991338 -0.0687347
0.48 24.7709 8.77505 8.00642 -0.0757815 0.0828417 0.9913 -0.0691017
0.4825 24.7686 8.79446 8.00772 -0.0761349 0.0826699 0.991262 -0.0694689
0.485 24.7662 8.81386 8.00882 -0.0764878 0.0824974 0.991223 -0.0698361
0.4875 24.7638 8.83327 8.00975 -0.07684 0.0823241 0.991185 -0.0702035
0.49 24.7614 8.85267 8.01049 -0.0771917 0.08215 0.991146 -0.0705711
0.4925 24.759 8.87207 8.01104 -0.0775427 0.0819751 0.991107 -0.0709387
0.495 24.7565 8.89147 8.01141 -0.0778932 0.0817994 0.991068 -0.0713065
0.4975 24.7541 8.91086 8.01159 -0.078243 0.081623 0.991028 -0.0716744
0.5 24.7516 8.93026 8.01159 -0.0785922 0.0814458 0.990989 -0.0720425
0.5025 24.7492 8.94965 8.0114 -0.0789408 0.0812678 0.990949 -0.0724107
0.505 24.7467 8.96904 8.01103 -0.0792888 0.0810891 0.990909 -0.072779
0.5075 24.7442 8.98842 8.01047 -0.0796362 0.0809095 0.990869 -0.0731475
0.51 24.7417 9.0078 8.00973 -0.0799829 0.0807293 0.990828 -0.0735161
0.5125 24.7392 9.02719 8.0088 -0.080329 0.0805482 0.990788 -0.0738848
0.515 24.7367 9.04656 8.00769 -0.0806745 0.0803664 0.990747 -0.0742537
0.5175 24.7341 9.06594 8.0064 -0.0810193 0.0801838 0.990706 -0.0746227
0.52 24.7316 9.08531 8.00492 -0.0813636 0.0800005 0.990665 -0.0749919
0.5225 24.729 9.10468 8.00325 -0.0817071 0.0798164 0.990624 -0.0753611
0.525 24.7264 9.12405 8.0014 -0.0820501 0.0796316 0.990582 -0.0757306
0.5275 24.7238 9.14342 7.99936 -0.0823924 0.079446 0.990541 -0.0761001
